date,open,high,low,close,,,
8/8/2023,448.08,450.6952,445.2705,448.75,,,
8/9/2023,449.03,449.1999,444.96,445.75,,,
8/10/2023,448.19,451.7,444.7,445.91,,,
8/11/2023,443.97,446.7007,443.345,445.65,,,
8/14/2023,444.7,448.11,444.38,448.11,,,
8/15/2023,446.27,446.64,442.3,442.89,,,
8/16/2023,442.46,444.18,439.53,439.64,,,
8/17/2023,441.16,441.43,435.75,436.29,,,
8/18/2023,433.37,437.57,433.01,436.5,,,
8/21/2023,437.55,440.11,435.32,439.34,,,
8/22/2023,441.18,441.18,437.57,438.15,,,
8/23/2023,439.25,443.67,439.1,443.03,,,
8/24/2023,444.69,445.22,436.855,436.89,,,
8/25/2023,438.68,441.3,435,439.97,,,
8/28/2023,442.24,443.4,439.9728,442.76,,,
8/29/2023,442.65,449.45,442.46,449.16,,,
8/30/2023,449.51,451.67,448.78,451.01,,,
8/31/2023,451.65,452.83,450.16,450.35,,,
9/1/2023,453.17,453.67,449.68,451.19,,,
9/5/2023,450.73,451.06,449.17,449.24,,,
9/6/2023,448.4,448.51,443.81,446.22,,,
9/7/2023,443.11,445.55,442.75,444.85,,,
9/8/2023,444.9,447.11,444.53,445.52,,,
9/11/2023,448.24,448.77,446.4699,448.45,,,
9/12/2023,446.95,448.53,445.39,445.99,,,
9/13/2023,446.22,447.71,445.0793,446.51,,,
9/14/2023,449.07,451.08,447.715,450.36,,,
9/15/2023,447.14,447.48,442.92,443.37,,,
9/18/2023,443.05,444.97,442.56,443.63,,,
9/19/2023,442.68,443.29,439.94,442.71,,,
9/20/2023,444.01,444.435,438.43,438.64,,,
9/21/2023,435.7,435.97,431.23,431.39,,,
9/22/2023,432.45,434.1,429.99,430.42,,,
9/25/2023,429.17,432.27,428.72,432.23,,,
9/26/2023,429.09,429.82,425.02,425.88,,,
9/27/2023,427.09,427.67,422.29,426.05,,,
9/28/2023,425.48,430.2499,424.87,428.52,,,
9/29/2023,431.67,431.85,425.91,427.48,,,
10/2/2023,426.62,428.6,424.46,427.31,,,
10/3/2023,425.06,427.3729,420.18,421.59,,,
